"linux_version","arch_abi","number","name","linux_entry","design_section","owner","implementation_plan","validation_focus","delivery_class","source"
"v6.12","x86-64 LP64 (64)","13","rt_sigaction","sys_rt_sigaction","24","Signal / Task / IoRequest","信号队列、mask、frame、停止与 restart block 按逻辑 Task 执行","RT 排队、altstack、sigreturn、短 I/O、ptrace 及 exec","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","14","rt_sigprocmask","sys_rt_sigprocmask","24","Signal / Task / IoRequest","信号队列、mask、frame、停止与 restart block 按逻辑 Task 执行","RT 排队、altstack、sigreturn、短 I/O、ptrace 及 exec","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","15","rt_sigreturn","sys_rt_sigreturn","24","Signal / Task / IoRequest","信号队列、mask、frame、停止与 restart block 按逻辑 Task 执行","RT 排队、altstack、sigreturn、短 I/O、ptrace 及 exec","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","16","ioctl","sys_ioctl","32","FileExtension / Device / Mount","按对象执行文件命令；extent/文件身份/配额/设备分发不依赖宿主同名 ioctl","子命令布局、权限、文件身份代次、extent 与实际设备行为","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","17","pread64","sys_pread64","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","18","pwrite64","sys_pwrite64","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","19","readv","sys_readv","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","20","writev","sys_writev","18","IoRequest / OFD","按同步、位置型与向量 I/O 契约执行；共享位置由稳定完成 owner 提交实际字节数","短读写、iovec 边界、offset、取消和完成竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","21","access","sys_access","16","VFS / Inode / FsContext","路径解析和 inode/dentry 事务执行；权限、旧 fd 存续及日志一致性统一处理","dirfd/symlink/root 边界、权限、并发 rename、失败恢复","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","22","pipe","sys_pipe","22","Pipe / Eventfd / Timerfd","有界缓冲、计数或 timer 对象产生真实 readiness；继承通过稳定引用","PIPE_BUF、EOF、计数溢出、timer 累计与 fork","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","23","select","sys_select","19","ReadySource / Epoll","组合稳定就绪对象和 signal mask 等待；原生机制不可用时使用事件后端","ET/ONESHOT、fd 重用、mask 切换与丢失唤醒","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","24","sched_yield","sys_sched_yield","29","TaskScheduler / Rseq","运行资格、优先级/预算/CPU 集合与 rseq 临界区管理","FIFO/RR/DEADLINE、PI、亲和性、rseq 抢占和信号","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","25","mremap","sys_mremap","12","AddressSpace / Pager","VMA 事务与固定地址后端，跨 worker mm 使用成员屏障发布布局","拆分/合并、MAP_FIXED、共享、回滚和异步写入","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","26","msync","sys_msync","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","27","mincore","sys_mincore","30","Pager / GuestArchState","受管理页、权限、缺页队列、NUMA/锁页/swap 与架构状态实现语义","各子命令、fault/映射竞争、charge、权限和上下文","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","28","madvise","sys_madvise","30","Pager / GuestArchState","受管理页、权限、缺页队列、NUMA/锁页/swap 与架构状态实现语义","各子命令、fault/映射竞争、charge、权限和上下文","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","29","shmget","sys_shmget","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","30","shmat","sys_shmat","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","31","shmctl","sys_shmctl","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","32","dup","sys_dup","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","33","dup2","sys_dup2","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","34","pause","sys_pause","24","Signal / Task / IoRequest","信号队列、mask、frame、停止与 restart block 按逻辑 Task 执行","RT 排队、altstack、sigreturn、短 I/O、ptrace 及 exec","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","35","nanosleep","sys_nanosleep","25","Clock / Timer","统一客体时钟域与 CPU 计时，维护 timer/deadline/校时和通知","clock ID、休眠/校时、overrun、CPU timer、超时竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","36","getitimer","sys_getitimer","25","Clock / Timer","统一客体时钟域与 CPU 计时，维护 timer/deadline/校时和通知","clock ID、休眠/校时、overrun、CPU timer、超时竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","37","alarm","sys_alarm","25","Clock / Timer","统一客体时钟域与 CPU 计时，维护 timer/deadline/校时和通知","clock ID、休眠/校时、overrun、CPU timer、超时竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","38","setitimer","sys_setitimer","25","Clock / Timer","统一客体时钟域与 CPU 计时，维护 timer/deadline/校时和通知","clock ID、休眠/校时、overrun、CPU timer、超时竞态","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","39","getpid","sys_getpid","10","Init Process / Task registry","维护逻辑身份、父子/会话/组关系与退出记录；wait/pidfd 观察稳定对象","收养、wait 选项、退出/停止、PID 重用、pidfd","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","40","sendfile","sys_sendfile64","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","41","socket","sys_socket","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","42","connect","sys_connect","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","43","accept","sys_accept","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","44","sendto","sys_sendto","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","45","recvfrom","sys_recvfrom","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","46","sendmsg","sys_sendmsg","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","47","recvmsg","sys_recvmsg","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","48","shutdown","sys_shutdown","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","49","bind","sys_bind","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","50","listen","sys_listen","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","51","getsockname","sys_getsockname","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","52","getpeername","sys_getpeername","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","53","socketpair","sys_socketpair","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","54","setsockopt","sys_setsockopt","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","55","getsockopt","sys_getsockopt","21","SocketObject / NetNamespace","按 socket family/protocol 使用 Winsock 等价快路径、Unix transport 或用户态协议模块","协议/option、地址/凭据、阻塞/短 I/O、错误队列、继承","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","56","clone","sys_clone","13","Process / Task / AddressSpace","按 clone flags 建立进程或线程与共享关系；不同进程始终不同 worker","多线程、共享 mm/Files、vfork 等待、资源失败","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","57","fork","sys_fork","13","Process / Task / AddressSpace","按 clone flags 建立进程或线程与共享关系；不同进程始终不同 worker","多线程、共享 mm/Files、vfork 等待、资源失败","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","58","vfork","sys_vfork","13","Process / Task / AddressSpace","按 clone flags 建立进程或线程与共享关系；不同进程始终不同 worker","多线程、共享 mm/Files、vfork 等待、资源失败","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (64)","59","execve","sys_execve","14","Process / Image / Worker","候选映像准备后原子交接活动执行代次，保持 Linux 身份和 exec 规则","失败 exec、CLOEXEC、非 leader、信号与旧代次退出","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","60","exit","sys_exit","10","Init Process / Task registry","维护逻辑身份、父子/会话/组关系与退出记录；wait/pidfd 观察稳定对象","收养、wait 选项、退出/停止、PID 重用、pidfd","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","61","wait4","sys_wait4","10","Init Process / Task registry","维护逻辑身份、父子/会话/组关系与退出记录；wait/pidfd 观察稳定对象","收养、wait 选项、退出/停止、PID 重用、pidfd","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","62","kill","sys_kill","24","Signal / Task / IoRequest","信号队列、mask、frame、停止与 restart block 按逻辑 Task 执行","RT 排队、altstack、sigreturn、短 I/O、ptrace 及 exec","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","63","uname","sys_newuname","35","Environment / DeviceManager / UTS","真实虚拟系统与设备对象；端口权限只作用于虚拟总线","环境管理、设备访问、UTS 继承与 host 权限边界","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","64","semget","sys_semget","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","65","semop","sys_semop","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","66","semctl","sys_semctl","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","67","shmdt","sys_shmdt","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","68","msgget","sys_msgget","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","69","msgsnd","sys_msgsnd","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","70","msgrcv","sys_msgrcv","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","71","msgctl","sys_msgctl","31","IpcNamespace / IpcObject","SysV 集合/消息/shm、SEM_UNDO 和 POSIX MQ 的事务队列及共享 backing","数组原子性、undo、删除、消息选择、通知与额度","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","72","fcntl","sys_fcntl","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","73","flock","sys_flock","17","Files / OpenDescription","操作带 generation 的 fd/OFD 引用；fcntl/锁子命令进入其有类型状态机","dup/close/fork/exec、fd 重用、锁和异步 owner","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","74","fsync","sys_fsync","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","75","fdatasync","sys_fdatasync","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","76","truncate","sys_truncate","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
"v6.12","x86-64 LP64 (common)","77","ftruncate","sys_ftruncate","16","FileObject / PageCache","统一文件内容、映射和缓存代次；flush/truncate/copy 通过请求执行器及文件事务完成","内容/映射一致、空洞、短传输、崩溃与持久性","设计方案；V2 实现与验证待独立验收","https://github.com/torvalds/linux/blob/v6.12/arch/x86/entry/syscalls/syscall_64.tbl"
